City,Population
Dehradun,578420
Rishikesh,11600
Vikasnagar,12485
Chakrata,5117
Herbertpur,9782
Doiwala,8709
Haridwar,310562
Roorkee,301268
Laksar,21760
Bahadrabad,10232
Nainital,41377
Haldwani,656000
Ramnagar,97916
Kaladhungi,7611
Bhimtal,7722
Rudrapur,415859
Kashipur,301268
Khatima,289216
Sitarganj,293026
Jaspur,292785
Pauri,151536
Kotdwar,297443
Srinagar,302217
Lansdowne,29840
Satpuli,301200
Gopeshwar,304100
Joshimath,305567
Karnaprayag,302610
Nandaprayag,303325
Chamoli,304220
Agastyamuni,304364
Ukhimath,305037
Jakholi,304107
New Tehri,303794
Narendranagar,301754
Chamba,307405
Ghansali,304750
Almora,295892
Ranikhet,296420
Dwarahat,297755
Jainti,295974
Bageshwar,298370
Kanda,298592
Kapkot,299112
Pithoragarh,295803
Didihat,297378
Berinag,297915
Dharchula,298816
Munsyari,300696
Champawat,293352
Lohaghat,294076
Tanakpur,290727
Purnagiri,290800
