City,Flood,Earthquake,Forest Fire,Avalanche,Landslide
Dehradun,20,5,0,0,10
Rishikesh,15,3,0,0,8
Vikasnagar,10,2,0,0,5
Chakrata,5,1,0,0,3
Herbertpur,3,1,0,0,2
Doiwala,2,1,0,0,1
Haridwar,25,4,0,0,12
Roorkee,18,3,0,0,9
Laksar,12,2,0,0,6
Bahadrabad,8,1,0,0,4
Nainital,30,6,5,0,15
Haldwani,22,4,3,0,10
Ramnagar,16,3,2,0,8
Kaladhungi,10,2,1,0,5
Bhimtal,8,1,1,0,4
Rudrapur,28,5,0,0,14
Kashipur,20,4,0,0,10
Khatima,15,3,0,0,7
Sitarganj,12,2,0,0,6
Jaspur,10,2,0,0,5
Pauri,18,4,0,0,9
Kotdwar,14,3,0,0,7
Srinagar,12,2,0,0,6
Lansdowne,10,2,0,0,5
Satpuli,8,1,0,0,4
Gopeshwar,25,5,0,0,12
Joshimath,20,4,0,0,10
Karnaprayag,15,3,0,0,7
Nandaprayag,12,2,0,0,6
Chamoli,30,6,0,0,15
Rudraprayag,22,4,0,0,11
Agastyamuni,16,3,0,0,8
Ukhimath,12,2,0,0,6
Jakholi,10,2,0,0,5
New Tehri,18,4,0,0,9
Narendranagar,14,3,0,0,7
Chamba,12,2,0,0,6
Ghansali,10,2,0,0,5
Almora,20,4,3,0,10
Ranikhet,15,3,2,0,8
Dwarahat,12,2,1,0,6
Jainti,10,2,1,0,5
Bageshwar,18,4,0,0,9
Kanda,14,3,0,0,7
Kapkot,12,2,0,0,6
Pithoragarh,25,5,0,0,12
Didihat,20,4,0,0,10
Berinag,15,3,0,0,8
Dharchula,12,2,0,0,6
Munsyari,10,2,0,0,5
Champawat,18,4,0,0,9
Lohaghat,14,3,0,0,7
Tanakpur,12,2,0,0,6
Purnagiri,10,2,0,0,5
