City,Normalized_Population
Dehradun,8.9
Rishikesh,1.2
Vikasnagar,1.2
Chakrata,1
Herbertpur,1.1
Doiwala,1
Haridwar,5.2
Roorkee,5.2
Laksar,1.3
Bahadrabad,1
Nainital,1.6
Haldwani,10
Ramnagar,1.9
Kaladhungi,1
Bhimtal,1
Rudrapur,6.4
Kashipur,5.2
Khatima,5.1
Sitarganj,5.1
Jaspur,5.1
Pauri,2.3
Kotdwar,5.1
Srinagar,5.1
Lansdowne,1.7
Satpuli,5.2
Gopeshwar,5.1
Joshimath,5.1
Karnaprayag,5.1
Nandaprayag,5.1
Chamoli,5.1
Agastyamuni,5.1
Ukhimath,5.1
Jakholi,5.1
New Tehri,5.1
Narendranagar,5.2
Chamba,5.2
Ghansali,5.1
Almora,5.1
Ranikhet,5.1
Dwarahat,5.1
Jainti,5.1
Bageshwar,5.1
Kanda,5.1
Kapkot,5.1
Pithoragarh,5.1
Didihat,5.1
Berinag,5.1
Dharchula,5.1
Munsyari,5.2
Champawat,5.1
Lohaghat,5.1
Tanakpur,5.1
Purnagiri,5.1
