City,Flood (mm),Earthquake (Richter),Avalanche (tons),Forest Fire (sq km),Landslide (m³)
Dehradun,520.4,4.8,0,35.2,12000
Rishikesh,500.7,4.6,0,30.5,9500
Vikasnagar,480.3,4.7,0,28.1,10400
Chakrata,460.0,5.3,18000,22.3,23000
Herbertpur,470.8,4.9,0,24.5,9900
Doiwala,510.2,4.6,0,32.1,8700
Haridwar,550.9,4.4,0,40.8,8500
Roorkee,545.2,4.3,0,41.6,7800
Laksar,532.5,4.4,0,38.3,7400
Bahadrabad,537.1,4.4,0,39.1,7600
Nainital,430.6,5.2,0,15.7,20500
Haldwani,445.0,5.0,0,18.6,14000
Ramnagar,470.2,5.1,0,25.0,12000
Kaladhungi,460.1,5.0,0,22.8,10800
Bhimtal,420.3,5.3,0,16.9,18000
Rudrapur,510.5,4.5,0,27.2,8700
Kashipur,508.2,4.5,0,26.8,9100
Khatima,490.3,4.6,0,21.3,8200
Sitarganj,493.1,4.6,0,22.7,8000
Jaspur,487.0,4.6,0,20.5,8400
Pauri,400.0,5.6,12000,12.4,30000
Kotdwar,412.5,5.4,9000,14.0,26000
Srinagar,405.2,5.7,11000,13.2,28000
Lansdowne,395.6,5.8,15000,10.1,31000
Satpuli,402.1,5.5,10000,11.3,27000
Gopeshwar,370.0,6.0,32000,6.5,45000
Joshimath,360.4,6.2,50000,5.2,58000
Karnaprayag,375.1,6.0,28000,7.4,42000
Nandaprayag,370.6,6.1,30000,6.8,43000
Chamoli,365.2,6.3,55000,4.9,60000
Rudraprayag,355.0,6.4,46000,5.1,49000
Agastyamuni,358.2,6.3,43000,5.4,47000
Ukhimath,352.7,6.5,47000,4.8,51000
Jakholi,349.9,6.4,44000,4.6,48000
New Tehri,340.0,6.2,37000,4.2,52000
Narendranagar,350.3,6.1,22000,5.9,36000
Chamba,345.2,6.3,26000,4.5,41000
Ghansali,342.6,6.2,24000,4.0,39000
Almora,390.4,5.9,0,9.1,29000
Ranikhet,385.6,5.8,0,8.6,28000
Dwarahat,380.0,5.9,0,7.5,27000
Jainti,388.1,5.7,0,9.0,26000
Bageshwar,375.6,6.0,0,6.2,32000
Kanda,370.4,6.1,0,5.8,31000
Kapkot,368.0,6.0,0,5.1,33000
Pithoragarh,360.1,6.5,65000,3.9,70000
Didihat,358.9,6.4,58000,3.4,62000
Berinag,362.7,6.3,54000,4.1,60000
Dharchula,354.8,6.6,70000,2.7,73000
Munsyari,350.0,6.7,75000,2.1,78000
Champawat,370.5,6.2,0,5.0,36000
Lohaghat,368.4,6.3,0,4.8,35000
Tanakpur,390.0,6.1,0,7.0,34000
Purnagiri,385.3,6.0,0,6.7,33000
